Product ID,Price,Language,Display Name,Description
11,$0.99,English,Small Support ☕,Buy us a coffee - Support our mission
11,$0.99,Arabic,دعم صغير ☕,اشتر لنا قهوة - ادعم مهمتنا
11,$0.99,Urdu,چھوٹی سپورٹ ☕,ہماری مدد کریں - ہمارے مشن کی حمایت
11,$0.99,Turkish,Küçük Destek ☕,Bize kahve ısmarla - Misyonumuzu destekle
11,$0.99,French,Petit Soutien ☕,Offrez-nous un café - Soutenez notre mission
11,$0.99,Indonesian,Dukungan Kecil ☕,Belikan kami kopi - Dukung misi kami
11,$0.99,Malay,Sokongan Kecil ☕,Belikan kami kopi - Sokong misi kami
12,$1.99,English,Kind Supporter 🌟,Help us continue serving the community
12,$1.99,Arabic,داعم كريم 🌟,ساعدنا على خدمة المجتمع
12,$1.99,Urdu,مہربان حامی 🌟,برادری کی خدمت میں مدد کریں
12,$1.99,Turkish,Nazik Destekçi 🌟,Topluluğa hizmet etmemize yardım et
12,$1.99,French,Gentil Supporteur 🌟,Aidez-nous à servir la communauté
12,$1.99,Indonesian,Pendukung Baik 🌟,Bantu kami melayani komunitas
12,$1.99,Malay,Penyokong Baik 🌟,Bantu kami berkhidmat kepada masyarakat
13,$2.99,English,Generous Helper 💝,Support ongoing development and growth
13,$2.99,Arabic,مساعد سخي 💝,دعم التطوير والنمو المستمر
13,$2.99,Urdu,سخی مددگار 💝,ترقی اور بہتری میں مدد
13,$2.99,Turkish,Cömert Yardımcı 💝,Gelişimi ve büyümeyi destekle
13,$2.99,French,Aide Généreuse 💝,Soutenez le développement et la croissance
13,$2.99,Indonesian,Penolong Dermawan 💝,Dukung pengembangan berkelanjutan
13,$2.99,Malay,Pembantu Murah Hati 💝,Sokong pembangunan berterusan
15,$4.99,English,Amazing Donor 🎁,Meaningful contribution to our mission
15,$4.99,Arabic,متبرع رائع 🎁,مساهمة ذات مغزى في مهمتنا
15,$4.99,Urdu,شاندار عطیہ دہندہ 🎁,ہمارے مشن میں اہم شراکت
15,$4.99,Turkish,Harika Bağışçı 🎁,Misyonumuza anlamlı katkı
15,$4.99,French,Donateur Incroyable 🎁,Contribution significative à notre mission
15,$4.99,Indonesian,Donatur Luar Biasa 🎁,Kontribusi bermakna untuk misi kami
15,$4.99,Malay,Penderma Hebat 🎁,Sumbangan bermakna kepada misi kami
20,$9.99,English,Blessed Patron 👑,Outstanding generosity - Sadaqah Jariyah
20,$9.99,Arabic,راعي مبارك 👑,كرم استثنائي - صدقة جارية
20,$9.99,Urdu,بابرکت سرپرست 👑,غیر معمولی سخاوت - صدقہ جاریہ
20,$9.99,Turkish,Mübarek Patron 👑,Olağanüstü cömertlik - Sadaka-i Cariye
20,$9.99,French,Patron Béni 👑,Générosité exceptionnelle - Sadaqa Jariya
20,$9.99,Indonesian,Pelindung Terberkati 👑,Kedermawanan luar biasa - Sedekah Jariyah
20,$9.99,Malay,Penaung Berkat 👑,Kemurahan luar biasa - Sedekah Jariah
